         117628397 function calls (117188938 primitive calls) in 246.063 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   980942    2.311    0.000    6.891    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\resistance.py:33(calc_u_star)
   352164    2.171    0.000    2.494    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:1153(diff)
  1381568    2.171    0.000    2.171    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:162(arrh)
    26280    2.145    0.000    2.301    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:32(Planck)
  4904710    2.085    0.000    2.085    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\Ebal_pars.py:44(calc_lambda)
   980942    1.869    0.000   13.905    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\resistance.py:63(calc_u_C_star)
   182216    1.749    0.000   15.544    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:433(simpson)
  7862021    1.679    0.000    1.679    0.000 {built-in method builtins.max}
   601447    1.608    0.000    1.608    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   211808    1.534    0.000    9.569    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_initial.py:399(weighted_sum_over_lidf_solar)
   980942    1.519    0.000   27.482    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\resistance.py:172(resistance)
  4055168    1.472    0.000    1.472    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:16(CalcStephanBoltzmann)
   980942    1.472    0.000    1.898    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\Ebal.py:22(Monin_Obukhov)
    26476    1.447    0.000   11.193    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_Optical.py:441(i_hemi)
    26280    1.357    0.000   16.949    0.001 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:108(calc_netrad_pars)
   447092    1.207    0.000    1.871    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:186(peaked_arrh)
   223546    1.188    0.000   15.211    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:12(PhotoSynth)
  1188105    1.169    0.000    1.558    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:81(BallBerry)
  3219300    1.150    0.000    5.595    0.000 <__array_function__ internals>:2(copy)
    80131    1.110    0.000    1.110    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_Optical.py:278(define_geometric_constant)
  1158798    1.084    0.000    6.650    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:1034(_get_value)
  1158820    0.982    0.000    3.445    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3317(get_loc)
  1188105    0.942    0.000    7.732    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:51(opt_Ci)
     1095    0.932    0.001  217.612    0.199 C:\Users\liuha\Desktop\dalecv5.2\src\model\mod_class.py:82(dalecv2)
   131400    0.906    0.000    0.906    0.000 {built-in method builtins.round}
    26280    0.821    0.000   14.950    0.001 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_Optical.py:285(BRF_hemi_func)
  1158798    0.815    0.000    2.121    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5174(_get_values_for_loc)
   599136    0.787    0.000    2.732    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
  1158820    0.770    0.000    1.757    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5695(_maybe_cast_indexer)
   160965    0.723    0.000    0.723    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
  1158820    0.706    0.000    0.706    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
  2440612    0.588    0.000    0.588    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:282(tupleset)
    26287    0.534    0.000    0.534    0.000 {built-in method builtins.sum}
    26280    0.526    0.000   13.167    0.001 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_Optical.py:333(BRF_dif_func)
  3219300    0.511    0.000    3.220    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:715(copy)
  1160346    0.493    0.000    0.749    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1674(internal_values)
  1158820    0.471    0.000    0.472    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:2130(is_floating)
  1160346    0.463    0.000    1.212    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:674(_values)
   223546    0.461    0.000    8.193    0.000 {built-in method scipy.optimize._zeros._brentq}
  5036139    0.432    0.000    0.432    0.000 {built-in method builtins.abs}
    26280    0.429    0.000    0.486    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:502(rtm_t)
   387322    0.406    0.000    2.096    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2111(sum)
  1158842    0.394    0.000    0.516    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\common.py:155(cast_scalar_indexer)
   949039    0.353    0.000    0.353    0.000 {method 'reshape' of 'numpy.ndarray' objects}
2270278/2270272    0.336    0.000    0.341    0.000 {built-in method builtins.isinstance}
   211808    0.323    0.000    0.605    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:24(atleast_1d)
   211808    0.308    0.000    1.671    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:286(hstack)
  1161413    0.303    0.000    0.429    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\common.py:346(apply_if_callable)
        1    0.291    0.291    0.336    0.336 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_initial.py:13(sip_leaf)
   223546    0.281    0.000    8.550    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\optimize\zeros.py:650(brentq)
   599136    0.268    0.000    0.268    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
        1    0.268    0.268   14.612   14.612 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_initial.py:662(hemi_initial)
   387322    0.265    0.000    2.646    0.000 <__array_function__ internals>:2(sum)
  1163956    0.257    0.000    0.257    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1619(_block)
   211849    0.251    0.000    0.251    0.000 {built-in method numpy.arange}
   223546    0.239    0.000    0.303    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:119(esat)
    26280    0.239    0.000    0.814    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:45(calc_ebal_sunsha)
  3219300    0.237    0.000    0.237    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:711(_copy_dispatcher)
   352164    0.231    0.000    3.017    0.000 <__array_function__ internals>:2(diff)
  2323077    0.218    0.000    0.218    0.000 {pandas._libs.lib.is_integer}
   296949    0.213    0.000    0.793    0.000 <__array_function__ internals>:2(copyto)
   223546    0.212    0.000    0.957    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:144(calc_michaelis_menten_constants)
   211809    0.211    0.000    1.322    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2617(amax)
   107352    0.209    0.000    0.659    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:288(full)
   778144    0.200    0.000    0.412    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_asarray.py:110(asanyarray)
   187441    0.182    0.000    0.860    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:148(ones)
        1    0.176    0.176   13.199   13.199 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_initial.py:720(dif_initial)
    26280    0.175    0.000    0.542    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:40(calc_extinction_coeff)
   295253    0.172    0.000    0.172    0.000 {built-in method numpy.empty}
  1161682    0.168    0.000    0.168    0.000 {pandas._libs.lib.is_scalar}
   211809    0.152    0.000    1.623    0.000 <__array_function__ internals>:2(amax)
473286/473084    0.148    0.000    0.382    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_asarray.py:23(asarray)
   211869    0.132    0.000    0.528    0.000 <__array_function__ internals>:2(concatenate)
   242191    0.128    0.000    0.128    0.000 {built-in method numpy.zeros}
  1161419    0.126    0.000    0.126    0.000 {built-in method builtins.callable}
   211808    0.125    0.000    2.136    0.000 <__array_function__ internals>:2(hstack)
1546336/1544370    0.125    0.000    0.126    0.000 {built-in method builtins.len}
  1158798    0.124    0.000    0.124    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\numeric.py:231(_should_fallback_to_positional)
   211811    0.123    0.000    0.802    0.000 <__array_function__ internals>:2(dot)
  1158842    0.122    0.000    0.122    0.000 {pandas._libs.lib.is_float}
    26280    0.114    0.000    0.183    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:446(calc_lapse_rate_moist)
   211808    0.112    0.000    0.835    0.000 <__array_function__ internals>:2(atleast_1d)
   972360    0.104    0.000    0.104    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\einsumfunc.py:989(_einsum_dispatcher)
   263838    0.101    0.000    0.527    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:91(calc_resp)
   160965    0.095    0.000    1.287    0.000 <__array_function__ internals>:2(einsum)
   211810    0.085    0.000    0.230    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:219(_vhstack_dispatcher)
   352165    0.081    0.000    0.081    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   599173    0.080    0.000    0.080    0.000 {method 'items' of 'dict' objects}
   211819    0.078    0.000    0.109    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_initial.py:639(CIxy)
   839628    0.077    0.000    0.077    0.000 {method 'append' of 'list' objects}
   223546    0.075    0.000    0.075    0.000 {built-in method builtins.min}
   215810    0.074    0.000    0.074    0.000 {built-in method builtins.hasattr}
   211811    0.072    0.000    0.145    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:208(_arrays_for_stack_dispatcher)
   160965    0.071    0.000    0.794    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\einsumfunc.py:997(einsum)
       12    0.071    0.006    0.071    0.006 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1950(_stack_arrays)
     1095    0.067    0.000    3.955    0.004 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_Optical.py:379(BRF_hemi_dif_func)
   223546    0.064    0.000    0.064    0.000 {built-in method math.exp}
    27375    0.059    0.000    0.059    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\mod_class.py:48(temp_term)
   387322    0.058    0.000    0.058    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2106(_sum_dispatcher)
    26280    0.055    0.000    0.276    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:471(calc_longwave_irradiance)
   352164    0.046    0.000    0.046    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:1149(_diff_dispatcher)
    26280    0.044    0.000    0.044    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\Ebal_pars.py:64(calc_rho)
      196    0.043    0.000    0.193    0.001 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_Optical.py:121(rtm_o_mds)
    26280    0.040    0.000    0.040    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\Ebal_pars.py:89(calc_c_p)
   296949    0.039    0.000    0.039    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\multiarray.py:1054(copyto)
    26280    0.031    0.000    0.031    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:423(calc_c_p)
   211809    0.030    0.000    0.030    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2612(_amax_dispatcher)
   211811    0.029    0.000    0.029    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\multiarray.py:716(dot)
    12268    0.029    0.000    0.049    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:99(e2phot)
   223546    0.029    0.000    0.029    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\optimize\zeros.py:70(results_c)
    27571    0.028    0.000    0.033    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:1865(isscalar)
   211869    0.028    0.000    0.028    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\multiarray.py:143(concatenate)
        6    0.027    0.005    0.028    0.005 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
   223546    0.026    0.000    0.026    0.000 {built-in method _operator.index}
     1095    0.023    0.000    0.043    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\mod_class.py:57(phi_onset)
    26280    0.022    0.000    0.022    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:385(calc_lambda)
   211808    0.022    0.000    0.022    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:20(_atleast_1d_dispatcher)
    26280    0.021    0.000    0.021    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:362(calc_emiss_atm)
    12268    0.019    0.000    0.019    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:90(ephoton)
    26280    0.016    0.000    0.016    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:404(calc_mixing_ratio)
        1    0.016    0.016  217.631  217.631 C:\Users\liuha\Desktop\dalecv5.2\src\model\mod_class.py:185(mod_list)
     1540    0.013    0.000    0.022    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:5435(__finalize__)
     1095    0.013    0.000    0.038    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1633(getitem_mgr)
    31942    0.012    0.000    0.014    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\npyio.py:730(floatconv)
     5986    0.012    0.000    0.026    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
     1101    0.011    0.000    0.098    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:4359(_reduce)
        4    0.011    0.003    0.049    0.012 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\npyio.py:970(read_data)
        1    0.011    0.011   28.432   28.432 C:\Users\liuha\Desktop\dalecv5.2\src\model\data_class.py:16(__init__)
      899    0.010    0.000    0.019    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\mod_class.py:69(phi_fall)
     1520    0.010    0.000    0.074    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
        6    0.010    0.002    0.012    0.002 C:\Users\liuha\anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:33(__init__)
     1095    0.009    0.000    0.067    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:83(_f)
1350/1344    0.008    0.000    0.058    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:315(__init__)
     5986    0.008    0.000    0.009    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
     1558    0.008    0.000    0.012    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:233(__init__)
     1499    0.008    0.000    0.008    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:261(make_block_same_class)
     1095    0.008    0.000    0.098    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:1024(_get_values)
     1095    0.007    0.000    0.021    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:178(_has_infs)
     1095    0.007    0.000    0.041    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:119(f)
     1095    0.007    0.000    0.010    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3687(_convert_slice_indexer)
     4263    0.007    0.000    0.021    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\npyio.py:997(<listcomp>)
     2013    0.006    0.000    0.021    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:5489(__setattr__)
     1095    0.006    0.000    0.116    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:10324(_stat_function)
     1095    0.006    0.000    0.026    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\numeric.py:235(_convert_slice_indexer)
     1095    0.006    0.000    0.129    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:3301(mean)
     2156    0.006    0.000    0.014    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\nanfunctions.py:68(_replace_nan)
     1994    0.006    0.000    0.006    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\mod_class.py:31(fit_polynomial)
     1117    0.005    0.000    0.013    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4587(__getitem__)
     2881    0.005    0.000    0.013    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:627(name)
8526/4263    0.005    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\npyio.py:944(pack_items)
     1321    0.005    0.000    0.008    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:605(_simple_new)
     5777    0.005    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
     1683    0.005    0.000    0.016    0.000 {method 'any' of 'numpy.generic' objects}
     1095    0.005    0.000    0.129    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:968(_get_with)
     3062    0.004    0.000    0.009    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1578(_is_dtype_type)
     1318    0.004    0.000    0.004    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4537(__contains__)
     8868    0.004    0.000    0.005    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
     1095    0.004    0.000    0.120    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:10368(mean)
     1303    0.004    0.000    0.012    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\compat\numpy\function.py:49(__call__)
     5986    0.004    0.000    0.004    0.000 {built-in method numpy.seterrobj}
     4265    0.004    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\npyio.py:961(split_line)
     1095    0.004    0.000    0.008    0.000 C:\Users\liuha\anaconda3\lib\site-packages\algopy\globalfuncs.py:173(zeros)
     1558    0.004    0.000    0.004    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\flags.py:47(__init__)
     1297    0.004    0.000    0.016    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\common.py:100(is_bool_indexer)
     1159    0.004    0.000    0.010    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1230(is_float_dtype)
8528/4265    0.003    0.000    0.009    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_internal.py:871(__call__)
     2993    0.003    0.000    0.021    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:433(__enter__)
     1095    0.003    0.000    0.003    0.000 {built-in method bottleneck.reduce.nanmean}
      202    0.003    0.000    0.003    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
        5    0.003    0.001    0.012    0.002 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\npyio.py:1558(genfromtxt)
     3285    0.003    0.000    0.006    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:86(<genexpr>)
     1095    0.003    0.000    0.008    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\util\_validators.py:130(validate_kwargs)
     1766    0.003    0.000    0.003    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:5473(__getattr__)
     1743    0.003    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:160(is_object_dtype)
     3126    0.003    0.000    0.005    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:577(name)
     2881    0.003    0.000    0.008    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1718(validate_all_hashable)
     2993    0.003    0.000    0.011    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:438(__exit__)
     1095    0.003    0.000    0.123    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:10740(mean)
     1344    0.003    0.000    0.003    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1539(__init__)
     1095    0.002    0.000    0.136    0.000 <__array_function__ internals>:2(mean)
     7095    0.002    0.000    0.002    0.000 {built-in method builtins.hash}
      588    0.002    0.000    0.022    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\nanfunctions.py:862(nanmean)
     1540    0.002    0.000    0.002    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\flags.py:83(allows_duplicate_labels)
     1095    0.002    0.000    0.009    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:162(_bn_ok_dtype)
      588    0.002    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\nanfunctions.py:183(_divide_by_count)
    11972    0.002    0.000    0.002    0.000 {built-in method numpy.geterrobj}
2954/2948    0.002    0.000    0.006    0.000 {built-in method builtins.all}
      202    0.002    0.000    0.003    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexers.py:249(maybe_convert_indices)
      208    0.002    0.000    0.040    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:5492(_cmp_method)
     2681    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
     1095    0.002    0.000    0.002    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\util\_validators.py:117(_check_for_invalid_keys)
     9202    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      208    0.002    0.000    0.009    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\ops\array_ops.py:229(comparison_op)
    31978    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     1145    0.002    0.000    0.002    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1141(needs_i8_conversion)
     1095    0.002    0.000    0.002    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\util\_validators.py:38(_check_for_default_values)
     2190    0.002    0.000    0.003    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:79(check)
      404    0.002    0.000    0.010    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:111(_take_nd_ndarray)
    11942    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     2993    0.002    0.000    0.002    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:429(__init__)
     5762    0.002    0.000    0.004    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1737(<genexpr>)
     1568    0.002    0.000    0.020    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\nanfunctions.py:557(nansum)
      202    0.002    0.000    0.034    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:3521(take)
     1095    0.002    0.000    0.003    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:208(external_values)
     2352    0.002    0.000    0.002    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     2920    0.002    0.000    0.002    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:144(classes)
     1095    0.002    0.000    0.005    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1670(external_values)
     1327    0.002    0.000    0.002    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:756(_reset_identity)
